scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8974	0.6489	0.9899	1	22.1
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8632	0.7352	0.9927	1	15.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.6846	0.6066	0.9209	0	9.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	1	0.8993	0.6375	0.9898	1	14.8
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	1	0.8367	0.8074	0.9906	1	14.9
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	1	0.6619	0.7870	0.9567	0	14.0
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8609	0.7261	0.9831	1	15.0
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.9073	0.3704	0.9844	1	15.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.7581	0.6237	0.9516	1	15.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	1	0.8392	0.4936	0.9734	1	15.7
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	1	0.8766	0.6327	0.9906	1	15.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8971	0.6539	0.9891	1	15.4
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8765	0.3384	0.9902	1	16.2
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.5622	0.5541	0.8392	0	3.1
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8606	0.7225	0.9854	1	15.8
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.8019	0.9276	0.9819	1	15.2
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.7586	0.8449	0.9668	1	15.0
