scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8982	0.6542	0.9905	1	22.5
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8419	0.7227	0.9882	1	15.5
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.8810	0.0828	0.9224	0	3.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	1	0.8986	0.6383	0.9909	1	15.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	1	0.8197	0.5003	0.9831	0	15.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	1	0.7835	0.4427	0.9198	0	14.7
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8554	0.7292	0.9836	1	15.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.7916	0.5457	0.9735	1	16.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.8093	0.1145	0.8666	0	3.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	1	0.8651	0.5683	0.9795	1	16.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	1	0.8880	0.4754	0.9894	1	15.6
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8975	0.6534	0.9893	1	15.8
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8149	0.5456	0.9892	1	16.8
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.6295	0.3891	0.8403	0	4.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8594	0.6972	0.9866	1	16.0
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.9018	0.2347	0.9880	1	15.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.8476	0.1906	0.9429	0	3.1
