scenario	h5	goal_ep	sigma	seed	mean_cos	cos_range	max_cos	walk_completed	wall_s
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8939	0.6612	0.9896	1	22.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8247	0.8834	0.9879	1	15.2
orig	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.6980	0.5753	0.9144	0	5.0
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.0	1	0.8993	0.6362	0.9908	1	15.7
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.02	1	0.8672	0.3176	0.9787	1	16.4
orig	~/.stable_worldmodel/g1_diverse_v1.h5	30	0.05	1	0.8654	0.2026	0.9774	0	4.6
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8537	0.7312	0.9844	1	16.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.8416	0.6654	0.9857	1	15.8
orig	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.7112	0.5958	0.9320	0	11.3
orig	~/.stable_worldmodel/g1_diverse_v1.h5	50	0.02	1	0.8358	0.5417	0.9809	1	15.5
orig	~/.stable_worldmodel/g1_diverse_v1.h5	60	0.02	1	0.8594	0.5385	0.9908	1	15.6
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.0	1	0.8901	0.7113	0.9895	1	15.7
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.02	1	0.8484	0.6422	0.9856	1	15.5
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	20	0.05	1	0.7630	0.3396	0.8942	0	4.9
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.0	1	0.8583	0.7162	0.9819	1	15.1
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.02	1	0.8343	0.4732	0.9783	1	15.3
diverse	~/.stable_worldmodel/g1_diverse_v1.h5	40	0.05	1	0.8542	0.3542	0.9723	1	14.6
